  gaussian_centre,gaussian_normalization,   gaussian_sigma,     log_likelihood,             log_prior,      log_posterior,                 weight
78.53571068422221,    12202.015212506392,21.84997382366272, -548167838.4174904, 8.195367589568772e-05, -548167838.4174085,                    0.0
94.45690632991617,       9797.9382307862,17.63650328074514,-315279674.76769656,0.00010206228866169925, -315279674.7675945,                    0.0
38.04815676493624,     9205.762285978572,23.66953255636668, -312178689.6964897,0.00010862761484978972, -312178689.6963811,                    0.0
15.75164546722904,     8614.237443783823,22.62251779831376,-244378246.35026327,0.00011608688598682832, -244378246.3501472,                    0.0
 71.0757260302381,     7403.790976373966,22.15575706038006,-210479541.18010435, 0.0001350659416494972,-210479541.17996928,                    0.0
71.66140871323303,     4920.892335321055,16.22114321782518,-130575141.73293222,  0.000203215175593708,  -130575141.732729,                    0.0
45.73963847171321,     2475.452167859521, 4.44081358267356,-121609061.41514562, 0.0004039666017318695,-121609061.41474165,                    0.0
57.41235710676281,     2642.330455312972, 5.10657172677708,-120503699.64539231, 0.0003784537993683892,-120503699.64501385,                    0.0
72.01033073929634,     3528.427843283544,11.38435056321687, -96359636.10483244, 0.0002834123423845911, -96359636.10454904,                    0.0
37.17022384936556,     3674.033214279504, 13.5350264171578,  -87883515.0200615,0.00027218044630445857, -87883515.01978931,                    0.0
41.77404502633872,    3586.1055520540403, 14.7434417751593, -76860526.27999221, 0.0002788540341282544, -76860526.27971335,                    0.0
 26.4459763471814,     3434.076686165553,15.14709298307079, -68209710.39240555, 0.0002911990882523324, -68209710.39211436,                    0.0
87.35724161359263,    3558.2576835663754,14.81118612330842, -66078755.02082146,0.00028103641976758655, -66078755.02054042,                    0.0
 3.74835290532731,      3937.09466596123,16.76927368814594, -52149436.13331717,0.00025399440065428374,-52149436.133063175,                    0.0
47.41894748854121,    2541.0448580416605,11.06873163908082, -51397398.35167974,0.00039353890067516664,  -51397398.3512862,                    0.0
31.82583027055747,    1832.5036835485905,  6.5952871135113, -44874924.73650907, 0.0005457014951607239, -44874924.73596337,                    0.0
26.55464793212156,    2661.0625353902183,17.76054247613766, -34586808.01642386, 0.0003757897406395825, -34586808.01604807,                    0.0
38.76478038514851,    2473.1622048757586,17.51271101820072,-30746873.070073992, 0.0004043406445515513,-30746873.069669653,                    0.0
33.05242401741013,    2305.6223929695207,17.30991857311092,-26974592.889832858, 0.0004337223662683344,-26974592.889399137,                    0.0
 71.3334819150989,    1252.0285505403883,  5.2281180431002, -26427339.34463601, 0.0007987038311294017,-26427339.343837306,                    0.0
84.57875400654473,    2282.8703867080353,16.01803974601376, -25986161.77315761,0.00043804501815892784,-25986161.772719566,                    0.0
 0.75734111449628,     982.6385985606831, 2.81904684491975,-22295278.482410215, 0.0010176681452008368,-22295278.481392547,                    0.0
49.50043526974527,    1645.4404713768315,11.48493769334478, -20764188.29500844, 0.0006077400048166096,  -20764188.2944007,                    0.0
